OBJECTID,BSM,YSDM,DLBM,DLMC,QSDWDM,QSDWMC,QSXZ,ZLTBBH,MJ,ZLDWDM,ZLDWMC,GDLX,GDPDJ,DLBZ,X,Y
57,232145,2001030100,118,水工建筑用地,530702202201,共和村民委员会,30,863,40,530702202201,共和村民委员会,,,,100.2725065,26.74331187
58,232146,2001030100,118,水工建筑用地,530702202201,共和村民委员会,30,1144,20,530702202201,共和村民委员会,,,,100.2745867,26.7368078
59,232147,2001030100,118,水工建筑用地,530702202201,共和村民委员会,30,1183,20,530702202201,共和村民委员会,,,,100.2744061,26.73452915
60,232148,2001030100,118,水工建筑用地,530702202201,共和村民委员会,30,1293,20,530702202201,共和村民委员会,,,,100.2751897,26.73268522
61,232151,2001030100,118,水工建筑用地,530702202201,共和村民委员会,30,1417,20,530702202201,共和村民委员会,,,,100.2669402,26.72891763
62,232153,2001030100,118,水工建筑用地,530702202201,共和村民委员会,30,1466,20,530702202201,共和村民委员会,,,,100.2642398,26.72781395
63,232156,2001030100,118,水工建筑用地,530702202201,共和村民委员会,30,1621,20,530702202201,共和村民委员会,,,,100.266788,26.72114336
64,232157,2001030100,118,水工建筑用地,530702202201,共和村民委员会,30,1628,20,530702202201,共和村民委员会,,,,100.2683692,26.72067418
65,232158,2001030100,118,水工建筑用地,530702202201,共和村民委员会,30,1609,100,530702202201,共和村民委员会,,,,100.2629774,26.72123667
66,232160,2001030100,118,水工建筑用地,530702202203,七河村民委员会,30,71,20,530702202203,七河村民委员会,,,,100.26533,26.71880191
67,232163,2001030100,118,水工建筑用地,530702202203,七河村民委员会,30,162,100,530702202203,七河村民委员会,,,,100.2527577,26.71585631
68,232170,2001030100,205,风景名胜及特殊用地,530702202202,新民村民委员会,30,193,20,530702202202,新民村民委员会,,,,100.252577,26.72195689
69,232172,2001030100,118,水工建筑用地,530702202203,七河村民委员会,30,641,60,530702202203,七河村民委员会,,,,100.2650709,26.69973769
70,232173,2001030100,118,水工建筑用地,530702202203,七河村民委员会,30,690,60,530702202203,七河村民委员会,,,,100.2674618,26.69765667
71,232174,2001030100,205,风景名胜及特殊用地,530702202203,七河村民委员会,30,641,50,530702202203,七河村民委员会,,,,100.2654615,26.69997426
72,232175,2001030100,118,水工建筑用地,530702202204,三义村民委员会,30,376,35,530702202204,三义村民委员会,,,,100.25797,26.68454997
73,232176,2001030100,118,水工建筑用地,530702202204,三义村民委员会,30,391,35,530702202204,三义村民委员会,,,,100.2584126,26.68344198
74,232177,2001030100,118,水工建筑用地,530702202204,三义村民委员会,30,409,35,530702202204,三义村民委员会,,,,100.25849,26.6826574
75,232178,2001030100,118,水工建筑用地,530702202204,三义村民委员会,30,428,35,530702202204,三义村民委员会,,,,100.2601362,26.6814725
76,232179,2001030100,118,水工建筑用地,530702202204,三义村民委员会,30,399,35,530702202204,三义村民委员会,,,,100.2612114,26.6831301
77,232180,2001030100,118,水工建筑用地,530702202204,三义村民委员会,30,380,35,530702202204,三义村民委员会,,,,100.2623168,26.68306508
78,232181,2001030100,118,水工建筑用地,530702202204,三义村民委员会,30,410,35,530702202204,三义村民委员会,,,,100.2617912,26.68220858
79,232182,2001030100,118,水工建筑用地,530702202204,三义村民委员会,30,438,25,530702202204,三义村民委员会,,,,100.2631066,26.68112595
80,232185,2001030100,118,水工建筑用地,530702202203,七河村民委员会,30,411,28,530702202203,七河村民委员会,,,,100.2507673,26.70729825
81,232186,2001030100,118,水工建筑用地,530702202203,七河村民委员会,30,543,28,530702202203,七河村民委员会,,,,100.2499051,26.70501619
82,232187,2001030100,118,水工建筑用地,530702202203,七河村民委员会,30,535,16,530702202203,七河村民委员会,,,,100.246691,26.70364148
83,232191,2001030100,118,水工建筑用地,530702202210,后山村民委员会,30,477,28,530702202210,后山村民委员会,,,,100.1474062,26.6651737
84,232193,2001030100,118,水工建筑用地,530702202207,龙潭村民委员会,30,379,66,530702202207,龙潭村民委员会,,,,100.3306216,26.74677119
85,232194,2001030100,118,水工建筑用地,530702202207,龙潭村民委员会,30,488,66,530702202207,龙潭村民委员会,,,,100.3257831,26.74221109
86,232195,2001030100,118,水工建筑用地,530702202207,龙潭村民委员会,30,486,66,530702202207,龙潭村民委员会,,,,100.3301904,26.74197326
